Gender,Age,Married,BankCustomer,Ethnicity,YearsEmployed,PriorDefault,Employed,DriversLicense,Approved
1,33.5,1,1,1,4.5,1,1,1,1
1,27.67,1,1,0,5.75,1,0,1,1
0,58.42,1,1,2,10.0,1,1,0,1
0,20.67,1,1,0,2.085,1,1,0,1
1,26.17,1,1,2,0.0,1,0,1,1
1,21.33,1,1,0,1.415,1,1,0,1
1,42.83,1,1,0,4.58,1,0,0,1
1,38.17,1,1,0,2.5,1,1,0,1
1,20.5,0,0,0,2.5,1,0,0,1
1,48.25,1,1,0,1.75,1,1,0,1
1,28.33,1,1,0,11.0,1,0,1,1
0,18.75,1,1,0,2.71,1,1,0,1
1,18.5,1,1,0,1.5,1,1,0,1
1,33.17,0,0,1,2.04,1,1,1,1
1,45.0,1,1,1,14.0,1,1,1,1
0,19.67,1,1,1,0.29,1,1,0,1
1,24.5,1,1,2,4.75,1,1,0,1
1,21.83,1,1,0,0.29,1,1,0,1
1,40.25,1,1,4,20.0,1,1,0,1
1,41.42,1,1,1,5.0,1,1,1,1
0,17.83,1,1,1,1.0,1,1,0,1
1,23.17,1,1,1,0.46,1,1,0,1
1,28.46,1,1,0,0.25,0,0,0,0
1,18.17,1,1,1,1.085,0,0,0,0
1,20.0,1,1,0,2.0,0,0,1,0
1,20.0,1,1,0,0.5,0,0,0,0
0,20.75,1,1,0,0.04,0,0,0,0
0,24.5,0,0,0,0.165,0,0,0,0
1,32.75,1,1,1,5.75,0,0,1,0
0,52.17,0,0,3,0.0,0,0,0,0
0,48.17,1,1,4,0.335,0,0,0,0
0,20.42,0,0,1,0.0,0,0,1,0
1,50.75,1,1,3,0.0,0,0,0,0
1,17.08,0,0,0,0.04,0,0,0,0
1,18.33,0,0,4,0.0,0,0,0,0
0,32.0,1,1,0,1.25,0,0,0,0
1,59.67,1,1,0,0.125,1,0,1,1
1,18.0,1,1,4,0.21,0,0,0,1
1,37.58,1,1,0,0.0,0,0,0,1
1,32.33,1,1,0,1.25,0,0,1,0
1,18.08,0,0,0,0.04,0,0,0,0
1,38.25,0,0,0,0.125,0,0,0,0
1,30.67,1,1,1,2.25,0,0,1,0
1,18.58,1,1,0,0.54,0,0,0,0
0,19.17,1,1,1,0.29,0,0,0,0
0,18.17,0,0,1,0.165,0,0,0,0
1,24.58,0,0,3,0.0,0,0,0,0
1,16.25,1,1,0,0.085,1,0,0,0
1,21.17,0,0,1,0.25,0,0,0,0
1,23.92,0,0,1,0.125,0,0,0,0
1,17.67,1,1,0,0.25,0,0,0,0
0,16.5,1,1,0,0.25,0,1,0,0
1,23.25,1,1,0,0.125,0,1,0,0
1,17.58,1,1,1,0.165,0,1,0,0
0,28.46,1,1,3,0.0,0,1,1,0
1,29.5,1,1,0,0.29,0,1,0,0
1,18.83,0,0,0,0.165,0,1,0,0
0,21.75,0,0,4,0.0,0,0,0,0
1,23.0,1,1,0,0.5,0,0,1,0
0,18.25,1,1,0,1.0,0,1,0,0
1,25.42,1,1,0,0.165,0,1,0,0
1,35.75,1,1,0,0.125,0,1,0,0
0,16.08,1,1,3,0.0,0,1,0,0
0,31.92,1,1,3,3.04,0,1,1,0
1,69.17,1,1,3,4.0,0,1,0,0
1,32.92,1,1,0,1.75,0,1,1,0
1,16.33,1,1,0,0.665,0,1,0,0
1,22.17,1,1,0,3.335,0,1,1,0
0,57.58,1,1,3,6.5,0,1,0,0
1,18.25,1,1,0,0.25,0,0,1,0
1,23.42,1,1,0,0.5,0,0,1,0
0,15.92,1,1,0,0.085,0,0,0,0
0,24.75,1,1,1,1.5,0,0,0,0
1,48.75,0,0,3,0.0,1,0,1,0
1,23.5,1,1,3,4.5,0,0,0,0
1,18.58,1,1,3,0.415,0,0,0,0
1,27.75,1,1,1,0.25,0,0,1,0
0,31.75,0,0,4,0.0,0,0,0,0
0,24.83,1,1,0,1.0,0,0,1,0
1,19.0,0,0,0,2.335,0,0,1,0
0,16.33,1,1,0,0.125,0,0,0,0
0,18.58,1,1,0,0.415,0,0,0,0
1,16.25,0,0,0,0.25,0,0,0,0
1,23.0,1,1,0,0.5,1,0,1,0
1,21.17,0,0,1,0.25,0,0,0,0
1,17.5,0,1,4,0.0,0,0,1,1
1,19.17,0,0,2,0.0,0,0,1,1
1,36.75,0,0,0,1.5,0,0,1,1
1,21.25,1,1,0,1.5,0,0,0,1
0,18.08,0,1,3,10.0,0,0,1,1
0,33.67,1,1,0,0.375,0,0,0,1
1,48.58,0,0,0,0.25,1,1,0,1
1,33.67,1,1,0,1.165,0,0,0,0
0,29.5,0,0,0,1.0,0,0,0,0
1,30.17,0,0,0,0.04,0,0,0,0
1,40.83,1,1,2,0.5,0,0,0,0
1,34.83,0,0,0,3.0,0,0,0,0
1,28.46,0,0,0,0.085,0,0,1,0
1,20.42,1,1,0,0.0,0,0,0,0
0,33.25,0,0,0,2.5,0,0,1,0
1,34.08,1,1,0,1.0,0,0,0,0
0,25.25,1,1,0,1.0,0,0,1,0
1,34.75,1,1,2,0.5,0,0,0,0
1,27.67,1,1,1,0.165,0,0,1,0
1,47.33,1,1,0,1.0,0,0,1,0
0,34.83,0,0,1,0.5,0,0,1,0
0,33.25,0,0,0,2.0,0,0,0,0
1,28.0,1,1,0,0.75,0,0,1,0
0,39.08,1,1,0,3.0,0,0,0,0
1,42.75,1,1,0,0.04,0,0,0,0
1,26.92,1,1,2,0.5,0,0,1,0
1,33.75,1,1,2,0.0,0,0,0,0
1,38.92,1,1,0,0.5,0,0,1,0
1,62.75,1,1,4,0.0,0,0,0,0
1,32.25,1,1,0,0.25,0,0,1,0
1,26.75,0,0,2,2.5,0,0,0,0
1,63.33,1,1,0,0.585,1,1,1,0
1,27.83,1,1,0,2.25,0,1,1,0
0,26.17,1,1,4,0.0,0,0,1,0
1,22.17,0,0,3,0.0,0,0,0,0
1,22.5,0,0,0,1.5,0,0,1,0
1,30.75,1,1,0,0.585,0,0,1,0
1,36.67,1,1,0,0.25,0,0,1,0
0,16.0,1,1,0,1.0,0,1,1,0
1,41.17,1,1,0,0.165,0,0,0,0
0,19.5,1,1,0,0.04,0,0,1,0
1,32.42,1,1,0,0.165,0,0,1,0
0,36.75,1,1,3,0.0,0,0,0,0
0,30.25,1,1,0,5.5,0,0,1,0
1,23.08,1,1,3,0.085,0,0,1,0
1,26.83,1,1,3,0.0,0,0,0,0
1,16.92,0,0,0,0.29,0,0,0,0
1,24.42,1,1,4,0.165,0,1,0,0
1,42.83,1,1,0,13.875,0,1,1,0
0,22.75,1,1,0,0.165,0,0,0,0
1,39.42,0,0,0,0.165,0,0,0,0
0,23.58,0,0,1,3.0,0,0,1,0
1,21.42,0,0,4,0.75,0,0,1,0
1,33.0,0,0,0,7.0,0,0,1,0
1,26.33,1,1,4,0.0,0,0,1,0
0,45.0,1,1,1,1.0,0,0,1,0
1,26.25,1,1,0,0.125,0,0,0,0
1,28.17,1,1,0,0.04,0,0,0,0
0,20.83,0,0,4,1.0,0,0,0,0
1,28.67,1,1,0,0.125,0,0,0,0
1,20.67,0,0,0,2.0,0,0,1,0
1,34.42,1,1,2,0.125,0,0,1,0
1,33.58,1,1,2,4.0,0,0,1,0
1,43.17,1,1,2,2.25,0,0,1,0
0,22.67,1,1,0,0.165,0,0,0,0
0,24.33,0,0,2,4.5,0,0,0,0
0,56.83,0,0,3,5.0,0,0,1,0
1,22.08,1,1,0,1.585,0,0,1,0
1,34.0,0,0,0,1.5,0,0,1,0
1,22.58,0,0,0,0.54,0,0,1,0
1,21.17,1,1,0,0.5,0,0,1,0
1,26.67,1,1,2,0.0,0,0,1,0
1,22.92,1,1,0,0.085,0,0,0,0
1,15.17,1,1,0,1.0,0,0,0,0
1,39.92,1,1,2,0.21,0,0,0,0
1,27.42,1,1,2,0.25,0,0,1,0
1,24.75,1,1,0,1.0,0,0,1,0
1,41.17,0,0,0,0.25,0,0,0,0
0,33.08,1,1,0,0.54,0,0,1,0
1,29.83,0,0,1,0.04,0,0,0,0
0,23.58,0,0,3,0.125,0,0,0,0
1,26.17,0,0,1,1.25,0,0,1,0
1,31.0,1,1,0,0.085,0,0,0,0
1,20.75,0,0,0,0.29,0,0,0,0
1,28.92,1,1,0,0.29,0,0,0,0
0,51.92,1,1,2,3.085,0,0,1,0
0,22.67,1,1,0,0.75,0,0,0,0
1,34.0,0,0,2,1.085,0,0,1,0
0,69.5,1,1,3,0.0,0,0,0,0
0,40.33,0,0,0,0.165,0,1,0,0
0,19.58,0,0,0,1.0,0,1,0,0
1,16.0,1,1,0,0.085,0,1,0,0
1,17.08,1,1,0,0.335,0,1,0,0
1,31.25,1,1,3,0.0,0,1,0,0
1,25.17,1,1,0,1.25,0,1,0,0
0,22.67,1,1,0,0.085,0,0,0,0
1,40.58,1,1,2,0.0,0,0,0,0
1,22.25,1,1,0,0.125,0,0,1,0
0,22.25,0,0,3,3.25,0,0,0,0
1,22.5,0,0,0,0.125,0,0,0,0
1,23.58,1,1,0,0.54,0,0,1,0
1,38.42,1,1,0,0.375,0,1,0,0
0,26.58,0,0,3,0.0,0,0,1,0
1,35.0,1,1,0,1.0,0,0,1,0
1,20.42,1,1,0,1.5,0,0,0,0
1,29.42,1,1,0,1.75,0,0,0,0
1,26.17,1,1,0,1.165,0,0,0,0
1,33.67,1,1,0,1.5,0,0,0,0
1,24.58,1,1,0,0.25,0,0,0,0
0,27.67,1,1,0,0.25,0,0,1,0
1,37.5,1,1,0,0.04,0,0,0,0
1,49.17,1,1,3,0.29,0,0,0,0
1,33.58,0,0,0,0.085,0,0,0,0
1,51.83,0,0,3,1.5,0,0,0,0
1,22.92,0,0,0,0.165,0,0,0,0
1,21.83,1,1,0,0.085,0,0,1,0
1,25.25,1,1,0,0.5,0,0,0,0
1,58.58,1,1,0,2.415,0,0,1,0
1,19.0,0,0,3,0.0,0,1,0,0
1,19.58,1,1,3,0.0,0,1,0,0
0,53.33,1,1,3,0.0,0,0,1,0
0,27.17,1,1,3,0.0,0,1,0,0
1,25.92,1,1,0,0.375,0,1,1,0
1,23.08,1,1,0,1.0,0,1,0,0
1,39.58,1,1,3,0.0,0,1,0,0
1,30.58,0,0,0,0.125,0,0,1,0
1,17.25,1,1,0,0.04,0,0,1,0
0,17.67,0,0,3,0.0,0,0,0,0
0,28.46,1,1,3,0.0,0,0,0,0
1,16.5,1,1,0,0.165,0,0,0,0
0,27.33,1,1,3,0.0,0,0,0,0
1,31.25,1,1,3,0.0,0,1,0,0
1,20.0,1,1,0,0.5,0,0,0,0
1,28.46,0,0,2,7.0,0,0,0,0
1,39.5,1,1,0,1.5,0,0,0,0
1,36.5,1,1,0,3.5,0,0,0,0
1,29.75,1,1,0,0.25,0,0,1,0
1,52.42,1,1,0,3.75,0,0,1,0
1,36.17,1,1,0,0.085,0,0,0,0
1,34.58,1,1,0,0.0,0,0,0,0
1,29.67,0,0,0,0.04,0,0,0,0
1,36.17,1,1,2,5.0,0,0,0,0
1,25.67,0,0,0,1.5,0,0,1,0
0,24.5,0,0,0,0.0,0,0,0,0
1,24.08,1,1,0,0.085,0,1,0,0
1,21.92,1,1,0,0.125,0,0,0,0
0,36.58,1,1,3,0.0,0,1,0,0
0,23.0,1,1,4,0.0,0,1,0,0
0,27.58,1,1,0,2.79,0,1,1,0
1,31.08,1,1,0,2.5,0,1,1,0
0,30.42,1,1,1,0.04,0,1,0,0
1,22.08,1,1,0,0.75,0,0,0,0
1,16.33,1,1,1,0.415,0,0,1,0
0,21.92,1,1,1,0.085,0,0,0,0
1,21.08,0,0,1,0.04,0,0,0,0
1,17.42,1,1,0,0.125,0,0,0,0
1,19.17,0,0,0,1.0,0,0,1,0
1,20.67,1,1,0,0.125,0,0,0,0
1,26.75,1,1,0,0.75,0,0,1,0
1,23.58,1,1,1,0.085,0,0,1,0
1,39.17,0,0,1,10.0,0,0,1,0
1,22.75,1,1,0,0.415,0,0,0,0
1,26.5,0,0,0,0.085,0,0,0,0
0,16.92,1,1,0,0.165,0,1,1,0
1,23.5,0,0,0,0.415,0,1,1,0
0,17.33,1,1,0,1.75,0,1,1,0
1,23.75,0,0,0,0.04,0,1,0,0
1,34.67,1,1,0,1.165,0,0,0,0
1,74.83,0,0,3,0.04,0,1,0,0
1,28.17,0,0,0,0.085,0,0,0,0
1,24.5,0,0,0,0.04,0,0,1,0
1,18.83,0,0,3,0.0,0,0,1,0
1,45.33,1,1,0,0.125,0,0,1,0
0,47.25,1,1,1,2.75,1,1,0,1
1,24.17,1,1,0,4.625,1,1,1,1
1,39.25,1,1,0,6.5,1,1,0,1
0,20.5,1,1,1,6.0,1,0,0,1
0,18.83,0,0,1,3.0,1,0,0,1
1,19.17,1,1,0,1.5,1,0,0,1
0,25.0,1,1,1,1.04,1,0,1,1
1,20.17,1,1,0,1.665,1,1,1,1
1,25.75,1,1,0,1.46,1,1,1,1
1,20.42,1,1,0,1.625,1,1,0,1
1,28.46,1,1,0,5.0,1,1,1,1
1,39.0,1,1,0,3.5,1,1,1,1
0,64.08,1,1,3,0.0,1,1,0,1
1,28.25,1,1,0,4.75,1,1,0,1
0,28.75,1,1,0,1.085,1,1,1,1
1,31.33,1,1,0,7.0,1,1,0,1
0,18.92,1,1,0,0.75,1,1,0,1
0,24.75,1,1,1,1.835,1,1,0,1
0,30.67,1,1,0,2.0,1,1,0,1
1,21.0,0,0,0,2.25,1,1,1,1
1,13.75,0,0,0,1.75,1,1,1,1
0,46.0,1,1,4,0.0,1,0,0,1
0,44.33,1,1,0,2.5,1,0,0,1
1,20.25,1,1,4,0.0,1,0,0,1
1,22.67,0,0,1,2.585,1,0,0,1
1,28.46,1,1,0,6.5,1,0,0,1
0,60.92,1,1,0,4.0,1,1,0,1
1,16.08,1,1,0,1.75,1,1,1,1
0,28.17,1,1,0,0.585,1,1,0,1
1,39.17,1,1,0,0.125,1,1,1,1
1,20.42,1,1,0,1.5,1,1,0,1
0,30.0,1,1,4,2.25,1,1,1,1
1,22.83,1,1,0,1.29,1,1,0,1
0,22.5,1,1,0,1.75,1,1,0,0
0,28.58,1,1,0,2.415,1,0,1,0
1,45.17,1,1,0,2.5,1,0,1,0
1,41.58,1,1,0,0.21,1,0,0,0
0,57.08,1,1,2,1.0,1,0,1,0
0,55.75,1,1,1,6.75,1,1,1,0
1,43.25,1,1,1,0.21,1,1,0,0
0,25.33,1,1,1,2.75,1,0,1,0
0,24.58,1,1,1,1.75,1,0,0,0
1,43.17,1,1,2,0.75,1,0,0,0
1,40.92,1,1,3,0.0,1,0,0,0
1,31.83,1,1,0,7.5,1,0,1,0
0,33.92,0,0,3,0.0,1,0,0,0
0,24.92,1,1,3,0.0,1,0,0,0
1,35.25,1,1,1,3.75,1,0,1,0
1,34.25,1,1,2,0.25,1,0,1,0
1,80.25,1,1,0,0.54,1,0,0,0
1,19.42,0,0,0,2.0,1,0,1,0
1,42.75,1,1,2,1.0,1,0,0,0
1,19.67,0,0,1,0.835,1,0,1,0
1,36.33,1,1,0,1.165,1,0,1,0
1,30.08,0,0,2,0.5,1,1,1,0
1,44.25,0,0,0,1.5,1,0,0,0
1,23.58,0,0,0,2.625,1,1,1,0
1,23.92,1,1,1,1.875,1,1,0,1
1,33.17,1,1,0,0.75,1,1,1,1
1,48.33,1,1,0,16.0,1,0,0,1
1,76.75,1,1,4,12.75,1,1,1,1
1,51.33,1,1,2,0.0,1,1,0,1
1,34.75,1,1,4,5.375,1,1,1,1
1,38.58,1,1,0,4.0,1,1,0,1
0,22.42,0,0,1,0.75,1,1,0,1
1,41.92,1,1,1,0.21,1,1,0,1
1,29.58,1,1,0,7.5,1,1,1,1
0,32.17,1,1,0,1.085,1,1,0,1
1,51.42,1,1,1,0.04,1,0,0,1
0,22.83,1,1,1,2.29,1,1,1,1
0,25.0,1,1,1,3.5,1,1,0,1
1,26.75,1,1,1,1.25,1,0,0,1
1,23.33,1,1,1,1.415,1,0,0,1
1,24.42,1,1,1,1.585,1,0,1,1
1,42.17,1,1,1,12.75,1,0,1,1
0,20.83,1,1,0,0.04,1,0,0,1
1,23.08,1,1,1,2.125,1,1,1,1
0,25.17,1,1,1,0.875,1,0,0,1
1,43.08,0,0,0,0.375,1,1,1,1
0,35.75,1,1,0,0.75,1,1,0,1
1,59.5,1,1,0,1.75,1,1,1,1
1,21.0,0,0,0,1.085,1,1,1,1
1,21.92,0,0,0,0.04,1,1,1,1
0,65.17,1,1,3,0.0,1,1,1,1
0,20.33,1,1,1,1.0,1,1,0,1
1,32.25,0,0,1,3.25,1,1,1,1
1,30.17,1,1,0,1.75,1,1,0,1
1,25.17,1,1,0,1.0,1,1,0,1
